Scan Sweep Time (Sec),Scan Number,3001 (°C)- TC1B,3002 (°C)- TC2B,3003 (°C)- TC3B,3004 (°C)- TC4B,3005 (°C)- TC5B,3006 (°C)- TC6B,3007 (°C)- TC7B,3008 (°C)- TC8B,3009 (°C)- TC9B,3010 (°C)- TC10B,3011 (°C)- TC11B,3012 (°C)- TC12B,3013 (°C)- TC13B,3014 (°C)- TC14B,3015 (°C)- TC15B,3016 (°C)- TC16B,3017 (°C)- TC17B,3018 (°C)- TC18B,3019 (°C)- TC19B,3020 (°C)- TC20B,3021 (°C)- TC21B,3022 (°C)- S2M1,3023 (°C)- S2M2,3024 (°C)- S2M3,3025 (°C)- S2M4,3026 (°C)- S2M5,3027 (°C)- S2M6,3028 (°C)- S2M7,3029 (°C)- S2M8,3030 (°C)- S2M9,3031 (°C)- S11M1,3032 (°C)- S11M2,3033 (°C)- S11M3,3034 (°C)- S11M4,3035 (°C)- S11M5,3036 (°C)- S11M6,3037 (°C)- S11M7,3038 (°C)- S11M8,3039 (°C)- S11M9,4022 (°C)- S15M9 1,4023 (°C)- S15M9 2,4024 (°C)- S14M9,4025 (°C)- S16M9,4026 (°C)- S16M8,4027 (°C)- S15M8 1,4028 (°C)- S15M8 2,4029 (°C)- S14M8,4030 (°C)- S14M7 1,4031 (°C)- S14M7 2,4032 (°C)- S14M7 3,4033 (°C)- S15M9 EDI,4034 (°C)- C1 UPS,4035 (°C)- C1 PLC,4036 (°C)- C1 FACP,4037 (°C)- PDV A1,4038 (°C)- PDV A2,4039 (°C)- ADV A3,4040 (°C)- C1 EDI DISC,5001 (°C)- R1 T I,5002 (°C)- R4 T I,5003 (°C)- R5 T I,5004 (°C)- R7 T I,5005 (°C)- R9 T I,5006 (°C)-  C1 R1 ROOF EXT,5007 (°C)- C1 R4 ROOF EXT,5008 (°C)- C1 R5 ROOF EXT,5009 (°C)- C1 R7 ROOF EXT,5010 (°C)- C1 R9 ROOF EXT,5011 (°C)- C1 HVAC EXT,5012 (°C)- C1 HVAC INT ,5013 (°C)- C1 L F B,5014 (°C)- C1 CL F T,5015 (°C)- C1 CL F B,5016 (°C)- C1 CR F T,5017 (°C)- C1 CR F B,5018 (°C)- C1 R F T,5019 (°C)- C1 R F B,5020 (°C)- C1 R T F,5021 (°C)- C1 R T R,5022 (°C)- C1 R B F,5023 (°C)- C1 R B R,5024 (°C)- C1 L R T,5025 (°C)- C1 L R B,5026 (°C)- C1 C R T,5027 (°C)- C1 C R B,5028 (°C)- C1 C R R T,5029 (°C)- C1 R R B,5030 (°C)- C1 AUX DAMP,5031 (°C)- C1 AUX F T,5032 (°C)- C1 AUX F B,5033 (°C)- C1 AUX R B,5034 (°C)- BCU 2,5035 (°C)- BCU 11,7001 (Vdc)- HF1 C1 NE CORNER H,7002 (Vdc)- HF2  C1 NE CORNER ,7003 (Vdc)- HF3 C4 DUAL1,7004 (Vdc)-  HF4 C4 ARC2,7005 (Vdc)- HF5 C3 ARC1,7006 (Vdc)- HF6 C1 N FRONT L,7007 (Vdc)- HF7 WALL,7008 (Vdc)- HF8 C3 ARC1,7009 (Vdc)- HF9 C3 ARC2,7010 (Vdc)- HF10 C3 DUAL1,7011 (Vdc)- HF11 C2 DUAL1
2025-11-19 22:02:13.703,1,17.121,17.284,16.99,16.949,15.796,15.578,15.607,15.462,15.816,15.76,16.865,17.056,16.191,16.145,9.9E+037,15.818,15.61,15.559,15.627,15.917,15.867,19.277,19.151,18.727,18.868,9.9E+037,9.9E+037,18.32,18.189,17.506,17.848,17.545,17.451,17.315,17.233,17.158,17.061,16.961,16.719,15.312,15.714,15.489,15.237,15.249,15.358,15.922,15.663,15.966,15.719,15.421,15.261,20.764,20.185,17.584,16.734,15.011,14.687,18.611,13.709,13.009,13.624,13.178,13.411,10.383,9.816,9.736,9.731,9.654,12.805,18.47,11.282,11.252,11.148,11.226,11.153,11.398,11.269,12.987,12.904,13.331,13.319,11.638,11.906,11.354,12.032,11.458,12.258,12.682,11.921,11.412,12.781,22.87,13.113,0.000002815,0.000000874,-0.000003591,-0.000008444,-0.000003494,-0.000000291,-0.000004853,-0.000005921,-0.000004562,-0.000010288,-0.000008056
2025-11-19 22:02:18.274,2,17.092,17.277,16.969,16.95,15.792,15.566,15.605,15.462,15.816,15.741,16.855,17.056,16.179,16.141,9.9E+037,15.823,15.613,15.557,15.61,15.918,15.893,19.282,19.139,18.723,18.865,9.9E+037,9.9E+037,18.333,18.158,17.516,17.855,17.536,17.439,17.323,17.226,17.136,17.039,16.94,16.734,15.321,15.742,15.451,15.226,15.236,15.335,15.919,15.643,15.929,15.696,15.417,15.277,20.761,20.167,17.564,16.752,15.054,14.705,18.605,13.722,13,13.647,13.148,13.373,10.387,9.83,9.738,9.723,9.607,12.795,18.484,11.264,11.259,11.143,11.227,11.157,11.397,11.276,12.971,12.916,13.347,13.318,11.635,11.892,11.381,12.018,11.456,12.246,12.619,11.928,11.427,12.781,22.882,13.101,0.000000194,0.000003494,-0.000001456,-0.000002524,-0.000004756,0.000001456,-0.000001553,-0.000008347,-0.000007765,-0.000010385,-0.000003688
2025-11-19 22:02:22.846,3,17.085,17.298,16.986,16.94,15.782,15.547,15.62,15.441,15.814,15.746,16.853,17.061,16.174,16.124,9.9E+037,15.816,15.571,15.55,15.625,15.939,15.843,19.275,19.122,18.732,18.841,9.9E+037,9.9E+037,18.335,18.192,17.497,17.853,17.574,17.429,17.325,17.218,17.163,17.032,16.945,16.727,15.34,15.728,15.485,15.226,15.248,15.338,15.933,15.635,15.943,15.711,15.413,15.275,20.739,20.182,17.566,16.752,15.042,14.717,18.61,13.709,13,13.62,13.162,13.385,10.389,9.844,9.72,9.744,9.587,12.782,18.45,11.297,11.27,11.14,11.205,11.181,11.377,11.316,12.949,12.915,13.339,13.293,11.634,11.893,11.357,11.995,11.459,12.266,12.593,11.939,11.411,12.753,22.862,13.114,-0.000001941,0.000002329,-0.000001165,-0.000000776,-0.000002135,0.000000097,-0.000001941,-0.000008347,-0.000008638,-0.00000825,-0.000006503
2025-11-19 22:02:27.418,4,17.084,17.266,16.98,16.946,15.747,15.537,15.6,15.464,15.81,15.752,16.862,17.058,16.159,16.128,9.9E+037,15.815,15.583,15.532,15.624,15.944,15.839,19.259,19.136,18.734,18.838,9.9E+037,9.9E+037,18.334,18.162,17.501,17.847,17.547,17.421,17.302,17.244,17.143,17.029,16.941,16.711,15.313,15.708,15.464,15.214,15.236,15.318,15.902,15.626,15.938,15.718,15.41,15.282,20.763,20.172,17.578,16.755,15.037,14.667,18.612,13.691,13.01,13.616,13.134,13.381,10.39,9.818,9.697,9.731,9.566,12.751,18.429,11.261,11.271,11.145,11.199,11.167,11.404,11.286,12.967,12.887,13.328,13.279,11.649,11.867,11.351,11.998,11.436,12.223,12.569,11.911,11.407,12.749,22.865,13.09,0.000000776,0.000002718,-0.000002135,-0.000001359,-0.000002815,-0.000000097,0.000000485,-0.000006406,-0.000006503,-0.000008153,-0.000007473
2025-11-19 22:02:31.989,5,17.084,17.276,16.978,16.949,15.764,15.551,15.621,15.452,15.808,15.759,16.84,17.036,16.191,16.142,9.9E+037,15.82,15.602,15.534,15.612,15.91,15.856,19.264,19.126,18.722,18.85,9.9E+037,9.9E+037,18.332,18.174,17.511,17.843,17.535,17.445,17.319,17.239,17.145,17.043,16.925,16.726,15.345,15.723,15.495,15.238,15.226,15.333,15.929,15.64,15.953,15.713,15.422,15.275,20.746,20.153,17.554,16.752,15.042,14.705,18.603,13.715,12.971,13.591,13.116,13.4,10.362,9.798,9.718,9.677,9.563,12.729,18.464,11.263,11.229,11.135,11.196,11.15,11.401,11.273,12.942,12.872,13.32,13.271,11.646,11.871,11.331,11.968,11.43,12.201,12.637,11.893,11.394,12.748,22.84,13.065,-0.000001262,-0.000000291,-0.000004271,-0.000003979,-0.000001844,0.000001359,-0.000001359,-0.000005435,-0.000004465,-0.000004756,-0.000005823
2025-11-19 22:02:36.561,6,17.1,17.286,17,16.95,15.782,15.562,15.613,15.47,15.806,15.758,16.867,17.076,16.189,16.128,9.9E+037,15.809,15.6,15.569,15.637,15.932,15.881,19.277,19.146,18.751,18.872,9.9E+037,9.9E+037,18.352,18.185,17.494,17.862,17.56,17.436,17.322,17.257,17.172,17.056,16.957,16.734,15.301,15.717,15.456,15.24,15.235,15.315,15.901,15.635,15.926,15.703,15.402,15.257,20.731,20.147,17.553,16.735,15.032,14.681,18.604,13.639,12.965,13.614,13.094,13.355,10.34,9.771,9.664,9.664,9.584,12.74,18.464,11.265,11.275,11.108,11.19,11.103,11.396,11.229,12.936,12.881,13.304,13.266,11.636,11.871,11.321,11.958,11.435,12.205,12.604,11.873,11.403,12.738,22.847,13.06,-0.000001262,-0.000000776,-0.000005047,-0.000004659,-0.000005532,-0.000001262,-0.000002135,-0.000005921,-0.000004853,-0.000006697,-0.000005144
2025-11-19 22:02:41.132,7,17.124,17.303,16.998,16.949,15.765,15.586,15.634,15.45,15.835,15.77,16.848,17.066,16.186,16.138,9.9E+037,15.85,15.62,15.569,15.644,15.949,15.881,19.282,19.146,18.725,18.841,9.9E+037,9.9E+037,18.342,18.197,17.499,17.846,17.577,17.446,17.327,17.247,17.153,17.039,16.952,16.744,15.327,15.708,15.458,15.209,15.238,15.308,15.916,15.616,15.95,15.708,15.412,15.255,20.704,20.152,17.553,16.73,15.034,14.698,18.588,13.675,12.975,13.624,13.099,13.367,10.294,9.732,9.649,9.72,9.584,12.747,18.471,11.238,11.26,11.093,11.178,11.129,11.376,11.243,12.922,12.866,13.319,13.266,11.636,11.885,11.309,11.97,11.473,12.224,12.595,11.885,11.401,12.738,22.849,13.101,-0.000000388,0.000001359,-0.000007668,-0.000005823,-0.000005144,0.000000097,0.000000776,-0.000007279,-0.000007571,-0.00000495,-0.000008541
2025-11-19 22:02:45.703,8,17.082,17.276,16.988,16.937,15.769,15.566,15.607,15.445,15.844,15.757,16.847,17.053,16.166,16.14,9.9E+037,15.81,15.597,15.549,15.631,15.924,15.844,19.276,19.155,18.741,18.867,9.9E+037,9.9E+037,18.354,18.191,17.486,17.852,17.547,17.438,17.31,17.237,17.152,17.043,16.954,16.738,15.31,15.71,15.489,15.245,15.245,15.359,15.942,15.637,15.959,15.722,15.405,15.264,20.733,20.159,17.565,16.746,15.027,14.685,18.619,13.664,12.981,13.606,13.141,13.395,10.331,9.747,9.655,9.735,9.582,12.743,18.469,11.237,11.266,11.14,11.181,11.137,11.411,11.222,12.949,12.898,13.325,13.276,11.658,11.9,11.312,11.985,11.443,12.203,12.637,11.9,11.394,12.741,22.84,13.092,-0.000000874,-0.000001553,-0.000008347,-0.000009609,-0.000005338,-0.000000485,-0.000001941,-0.000004853,-0.000005435,-0.000006794,-0.000007571
2025-11-19 22:02:50.275,9,17.091,17.263,16.97,16.936,15.783,15.55,15.596,15.444,15.8,15.722,16.824,17.059,16.185,16.122,9.9E+037,15.805,15.601,15.531,15.64,15.906,15.863,19.237,19.125,18.731,18.845,9.9E+037,9.9E+037,18.314,18.152,17.471,17.859,17.534,17.428,17.304,17.239,17.147,17.035,16.936,16.725,15.332,15.717,15.475,15.245,15.24,15.337,15.908,15.657,15.952,15.71,15.405,15.257,20.743,20.174,17.551,16.742,15.044,14.707,18.621,13.661,12.981,13.627,13.111,13.417,10.348,9.728,9.636,9.716,9.568,12.722,18.467,11.239,11.28,11.14,11.186,11.108,11.363,11.229,12.937,12.901,13.303,13.279,11.644,11.883,11.331,11.98,11.421,12.198,12.627,11.929,11.406,12.772,22.864,13.095,-0.000001456,-0.000000097,-0.000005532,-0.000005435,-0.000003979,0.000000582,-0.000003785,-0.000005921,-0.000003688,-0.000008056,-0.00000825
2025-11-19 22:02:54.846,10,17.093,17.264,16.959,16.916,15.755,15.545,15.6,15.453,15.811,15.731,16.838,17.044,16.172,16.116,9.9E+037,15.811,15.552,15.53,15.605,15.906,15.833,19.27,19.098,18.706,18.844,9.9E+037,9.9E+037,18.318,18.166,17.504,17.822,17.538,17.429,17.301,17.231,17.117,17.03,16.911,16.722,15.333,15.732,15.488,15.248,15.262,15.338,15.924,15.638,15.97,15.723,15.403,15.284,20.749,20.172,17.593,16.733,15.049,14.725,18.607,13.659,12.99,13.647,13.124,13.402,10.328,9.783,9.662,9.725,9.594,12.7,18.491,11.203,11.263,11.152,11.169,11.116,11.382,11.239,12.939,12.891,13.329,13.281,11.668,11.898,11.329,11.978,11.404,12.191,12.634,11.927,11.414,12.753,22.862,13.102,-0.000003203,-0.000001359,-0.000007668,-0.000005629,-0.000007571,0.000001068,-0.000001359,-0.000008832,-0.000004076,-0.000006018,-0.000000874
